event_name,event_timestamp,user_pseudo_id
onboarding_welcome_screen,1538405774195002,19abd470e3fe588ae02c83973d4e8dea
lost,1538405774195003,19abd470e3fe588ae02c83973d4e8dea
onboarding_welcome_screen,1538397432261002,80f4a724cd5c5a1a4d187fa59e2aa1e3
onboarding__chooseLoginType,1538397440902004,80f4a724cd5c5a1a4d187fa59e2aa1e3
onboarding_privacy_policyShown,1538397440956005,80f4a724cd5c5a1a4d187fa59e2aa1e3
onboarding_login_Type2,1538397440966006,80f4a724cd5c5a1a4d187fa59e2aa1e3
onboarding_privacy_policyAccepted,1538397443302011,80f4a724cd5c5a1a4d187fa59e2aa1e3
lost,1538397443302012,80f4a724cd5c5a1a4d187fa59e2aa1e3
onboarding_welcome_screen,1538367520411002,1b3bdafd3d134aa15e28f21aa3eb7ed3
onboarding_otherLogin__show,1538367533559006,1b3bdafd3d134aa15e28f21aa3eb7ed3
onboarding_otherLogin__chooseLoginType,1538367535857010,1b3bdafd3d134aa15e28f21aa3eb7ed3
onboarding_otherLogin_privacy_policyShown,1538367535946011,1b3bdafd3d134aa15e28f21aa3eb7ed3
lost,1538367535946012,1b3bdafd3d134aa15e28f21aa3eb7ed3
onboarding_welcome_screen,1538346057455002,af8fe64c11002448d645d034d6c771b3
onboarding__chooseLoginType,1538346068915042,af8fe64c11002448d645d034d6c771b3
onboarding_privacy_policyShown,1538346068948043,af8fe64c11002448d645d034d6c771b3
onboarding_login_Type1,1538346068957044,af8fe64c11002448d645d034d6c771b3
onboarding_privacy_policyAccepted,1538346070793047,af8fe64c11002448d645d034d6c771b3
onboarding_welcome_screen,1538346080868010,af8fe64c11002448d645d034d6c771b3
onboarding_welcome_screen,1538346087923045,af8fe64c11002448d645d034d6c771b3
passed,1538346160428072,af8fe64c11002448d645d034d6c771b3
onboarding_welcome_screen,1538362302920002,d1e5ab7435e7f588eef813a06d3dd261
onboarding__chooseLoginType,1538362305758007,d1e5ab7435e7f588eef813a06d3dd261
onboarding_privacy_policyShown,1538362305787008,d1e5ab7435e7f588eef813a06d3dd261
onboarding_login_Type1,1538362305796009,d1e5ab7435e7f588eef813a06d3dd261
onboarding_privacy_policyAccepted,1538362307653014,d1e5ab7435e7f588eef813a06d3dd261
onboarding_welcome_screen,1538362339173009,d1e5ab7435e7f588eef813a06d3dd261
onboarding_welcome_screen,1538362346624021,d1e5ab7435e7f588eef813a06d3dd261
passed,1538362365786077,d1e5ab7435e7f588eef813a06d3dd261
onboarding_welcome_screen,1538394870978002,92699c237bf5355b077557a950b451a3
lost,1538394870978003,92699c237bf5355b077557a950b451a3
onboarding_welcome_screen,1538401077940002,eeadbb5228f83be245c6038af424d1ae
onboarding__chooseLoginType,1538401103036002,eeadbb5228f83be245c6038af424d1ae
onboarding_privacy_policyShown,1538401103154003,eeadbb5228f83be245c6038af424d1ae
onboarding_login_Type2,1538401103188004,eeadbb5228f83be245c6038af424d1ae
onboarding_privacy_policyAccepted,1538401105205007,eeadbb5228f83be245c6038af424d1ae
passed,1538401151242012,eeadbb5228f83be245c6038af424d1ae
onboarding_welcome_screen,1538380343536002,c74bda21f9024a99deb23f6ad8c3b388
onboarding_otherLogin__show,1538380356163003,c74bda21f9024a99deb23f6ad8c3b388
onboarding_otherLogin__close,1538380358792004,c74bda21f9024a99deb23f6ad8c3b388
lost,1538380358792005,c74bda21f9024a99deb23f6ad8c3b388
onboarding_welcome_screen,1538368130785002,73d76b0138729d7d5043e46f5c3bcc53
onboarding_otherLogin__show,1538368134380008,73d76b0138729d7d5043e46f5c3bcc53
onboarding_welcome_screen,1538368136578017,73d76b0138729d7d5043e46f5c3bcc53
onboarding_welcome_screen,1538368143057030,73d76b0138729d7d5043e46f5c3bcc53
onboarding_welcome_screen,1538368148673008,73d76b0138729d7d5043e46f5c3bcc53
onboarding_welcome_screen,1538368151648016,73d76b0138729d7d5043e46f5c3bcc53
